Periodo;Afiliados
201401;16173609.52
201402;16212303.80
201403;16296288.24
201404;16430052.95
201405;16628373.24
201406;16684995.10
201407;16747102.65
201408;16649520.50
201409;16661702.95
201410;16690519.74
201411;16695750.80
201412;16775214.47
201501;16575312.25
201502;16672221.60
201503;16832800.55
201504;17008295.90
201505;17221310.40
201506;17256395.45
201507;17315187.57
201508;17180898.90
201509;17189814.91
201510;17221466.52
201511;17223086.48
201512;17308400.00
201601;17104357.26
201602;17167712.10
201603;17305798.05
201604;17463835.67
201605;17661839.59
201606;17760271.14
201607;17844991.95
201608;17699995.32
201609;17712020.73
201610;17813355.90
201611;17780523.90
201612;17849054.50
201701;17674174.52
201702;17748254.85
201703;17910006.65
201704;18122222.33
201705;18345414.23
201706;18433106.55
201707;18489329.00
201708;18309843.86
201709;18336161.48
201710;18430529.05
201711;18417756.24
201712;18460200.56
201801;18282030.82
201802;18363514.20
201803;18502087.60
201804;18678460.86
201805;18915667.82
201806;19006990.19
201807;19042809.68
201808;18839813.82
201809;18862712.80
201810;18993072.82
201811;18945624.19
201812;19024165.18
201901;18819300.09
201902;18888471.90
201903;19043576.33
201904;19230361.75
201905;19442113.45
201906;19517697.20
201907;19533210.74
201908;19320227.10
201909;19323451.48
201910;19429992.65
201911;19376878.45
201912;19408537.83
202001;19164493.67
202002;19250228.95
202003;19006759.59
202004;18458666.80
202005;18556128.85
202006;18624336.68
202007;18785554.30
202008;18792376.14
202009;18876389.23
202010;18990363.95
202011;19022001.57
202012;19048433.32
202101;18829480.16
202102;18850111.65
202103;18920901.87
202104;19055298.05
202105;19267221.00
202106;19500277.41
202107;19591727.95
202108;19473724.09
202109;19531111.36
202110;19690589.65
202111;19752357.81
202112;19824911.21
202201;19627161.25
202202;19694272.05
202203;19834503.70
202204;20019080.32
202205;20232723.14
202206;20348329.95
202207;20340964.24
202208;20151001.14
202209;20180287.41
202210;20283786.40
202211;20283630.90
202212;20296270.90
202301;20081223.90
202302;20170142.25
202303;20376552.30
202304;20614988.56
202305;20815399.14
202306;20869939.91
202307;20891884.62
202308;20706500.05
202309;20724795.52
202310;20817657.19
202311;20806073.76
202312;20836010.44
