Periodo;Total
2023T4;21389.70
2023T3;21446.50
2023T2;21258.40
2023T1;20634.20
2022T4;20640.70
2022T3;20745.40
2022T2;20607.20
2022T1;20196.70
2021T4;20274.80
2021T3;20103.30
2021T2;19716.10
2021T1;19239.60
2020T4;19344.30
2020T3;19176.90
2020T2;18607.20
2020T1;19681.30
2019T4;19966.90
2019T3;19874.30
2019T2;19804.90
2019T1;19471.10
2018T4;19564.60
2018T3;19528.00
2018T2;19344.10
2018T1;18874.20
2017T4;18998.40
2017T3;19049.20
2017T2;18813.30
2017T1;18438.30
2016T4;18508.10
2016T3;18527.50
2016T2;18301.00
2016T1;18029.60
2015T4;18094.20
2015T3;18048.70
2015T2;17866.50
2015T1;17454.80
2014T4;17569.10
2014T3;17504.00
2014T2;17353.00
2014T1;16950.60
