Periodo;Indice;VarMensual;VarAnual
2023M12;113.308;0.0;3.1
2023M11;113.280;-0.3;3.2
2023M10;113.676;0.3;3.5
2023M09;113.348;0.2;3.5
2023M08;113.149;0.5;2.6
2023M07;112.544;0.2;2.3
2023M06;112.354;0.6;1.9
2023M05;111.719;0.0;3.2
2023M04;111.773;0.6;4.1
2023M03;111.111;0.4;3.3
2023M02;110.703;0.9;6.0
2023M01;109.668;-0.2;5.9
2022M12;109.899;0.2;5.7
2022M11;109.734;-0.1;6.8
2022M10;109.866;0.3;7.3
2022M09;109.498;-0.7;8.9
2022M08;110.265;0.3;10.5
2022M07;109.986;-0.3;10.8
2022M06;110.267;1.9;10.2
2022M05;108.262;0.8;8.7
2022M04;107.375;-0.2;8.3
2022M03;107.566;3.0;9.8
2022M02;104.403;0.8;7.6
2022M01;103.567;-0.4;6.1
2021M12;103.965;1.2;6.5
2021M11;102.738;0.3;5.5
2021M10;102.425;1.8;5.4
2021M09;100.575;0.8;4.0
2021M08;99.743;0.5;3.3
2021M07;99.292;-0.8;2.9
2021M06;100.046;0.5;2.7
2021M05;99.572;0.5;2.7
2021M04;99.105;1.2;2.2
2021M03;97.949;1.0;1.3
2021M02;97.008;-0.6;0.0
2021M01;97.583;0.0;0.5
2020M12;97.574;0.2;-0.5
2020M11;97.367;0.2;-0.8
2020M10;97.208;0.5;-0.8
2020M09;96.700;0.2;-0.4
2020M08;96.555;0.0;-0.5
2020M07;96.511;-0.9;-0.6
2020M06;97.385;0.5;-0.3
2020M05;96.938;0.0;-0.9
2020M04;96.944;0.3;-0.7
2020M03;96.652;-0.4;0.0
2020M02;97.024;-0.1;0.7
2020M01;97.139;-1.0;1.1
2019M12;98.096;-0.1;0.8
2019M11;98.167;0.2;0.4
2019M10;98.001;1.0;0.1
2019M09;97.059;0.0;0.1
2019M08;97.059;-0.1;0.3
2019M07;97.113;-0.6;0.5
2019M06;97.719;-0.1;0.4
2019M05;97.834;0.2;0.8
2019M04;97.644;1.0;1.5
2019M03;96.669;0.4;1.3
2019M02;96.320;0.2;1.1
2019M01;96.085;-1.3;1.0
2018M12;97.329;-0.4;1.2
2018M11;97.768;-0.1;1.7
2018M10;97.875;0.9;2.3
2018M09;96.978;0.2;2.3
2018M08;96.742;0.1;2.2
2018M07;96.604;-0.7;2.2
2018M06;97.302;0.3;2.3
2018M05;97.048;0.9;2.1
2018M04;96.181;0.8;1.1
2018M03;95.393;0.1;1.2
2018M02;95.281;0.1;1.1
2018M01;95.153;-1.1;0.6
2017M12;96.190;0.0;1.1
2017M11;96.147;0.5;1.7
2017M10;95.710;0.9;1.6
2017M09;94.835;0.2;1.8
2017M08;94.670;0.2;1.6
2017M07;94.482;-0.7;1.5
2017M06;95.138;0.0;1.5
2017M05;95.097;-0.1;1.9
2017M04;95.154;1.0;2.6
2017M03;94.249;0.0;2.3
2017M02;94.269;-0.4;3.0
2017M01;94.609;-0.5;3.0
2016M12;95.132;0.6;1.6
2016M11;94.572;0.4;0.7
2016M10;94.230;1.1;0.7
2016M09;93.165;0.0;0.2
2016M08;93.161;0.1;-0.1
2016M07;93.041;-0.7;-0.6
2016M06;93.723;0.5;-0.8
2016M05;93.292;0.5;-1.0
2016M04;92.785;0.7;-1.1
2016M03;92.139;0.6;-0.8
2016M02;91.552;-0.4;-0.8
2016M01;91.876;-1.9;-0.3
2015M12;93.663;-0.3;0.0
2015M11;93.937;0.4;-0.3
2015M10;93.595;0.6;-0.7
2015M09;92.999;-0.3;-0.9
2015M08;93.286;-0.3;-0.4
2015M07;93.597;-0.9;0.1
2015M06;94.474;0.3;0.1
2015M05;94.222;0.5;-0.2
2015M04;93.774;0.9;-0.6
2015M03;92.920;0.6;-0.7
2015M02;92.331;0.2;-1.1
2015M01;92.141;-1.6;-1.3
2014M12;93.646;-0.6;-1.0
2014M11;94.195;-0.1;-0.4
2014M10;94.261;0.5;-0.1
2014M09;93.824;0.2;-0.2
2014M08;93.681;0.2;-0.5
2014M07;93.533;-0.9;-0.3
2014M06;94.421;0.0;0.1
2014M05;94.395;0.0;0.2
2014M04;94.373;0.9;0.4
2014M03;93.541;0.2;-0.1
2014M02;93.333;0.0;0.0
2014M01;93.373;-1.3;0.2
