Anyo;Mes;Salario
2014;1;645.3
2014;2;645.3
2014;3;645.3
2014;4;645.3
2014;5;645.3
2014;6;645.3
2014;7;645.3
2014;8;645.3
2014;9;645.3
2014;10;645.3
2014;11;645.3
2014;12;645.3
2015;1;648.6
2015;2;648.6
2015;3;648.6
2015;4;648.6
2015;5;648.6
2015;6;648.6
2015;7;648.6
2015;8;648.6
2015;9;648.6
2015;10;648.6
2015;11;648.6
2015;12;648.6
2016;1;655.2
2016;2;655.2
2016;3;655.2
2016;4;655.2
2016;5;655.2
2016;6;655.2
2016;7;655.2
2016;8;655.2
2016;9;655.2
2016;10;655.2
2016;11;655.2
2016;12;655.2
2017;1;707.7
2017;2;707.7
2017;3;707.7
2017;4;707.7
2017;5;707.7
2017;6;707.7
2017;7;707.7
2017;8;707.7
2017;9;707.7
2017;10;707.7
2017;11;707.7
2017;12;707.7
2018;1;735.9
2018;2;735.9
2018;3;735.9
2018;4;735.9
2018;5;735.9
2018;6;735.9
2018;7;735.9
2018;8;735.9
2018;9;735.9
2018;10;735.9
2018;11;735.9
2018;12;735.9
2019;1;900
2019;2;900
2019;3;900
2019;4;900
2019;5;900
2019;6;900
2019;7;900
2019;8;900
2019;9;900
2019;10;900
2019;11;900
2019;12;900
2020;1;950
2020;2;950
2020;3;950
2020;4;950
2020;5;950
2020;6;950
2020;7;950
2020;8;950
2020;9;950
2020;10;950
2020;11;950
2020;12;950
2021;1;950
2021;2;950
2021;3;950
2021;4;950
2021;5;950
2021;6;950
2021;7;950
2021;8;950
2021;9;965
2021;10;965
2021;11;965
2021;12;965
2022;1;1000
2022;2;1000
2022;3;1000
2022;4;1000
2022;5;1000
2022;6;1000
2022;7;1000
2022;8;1000
2022;9;1000
2022;10;1000
2022;11;1000
2022;12;1000
2023;1;1080
2023;2;1080
2023;3;1080
2023;4;1080
2023;5;1080
2023;6;1080
2023;7;1080
2023;8;1080
2023;9;1080
2023;10;1080
2023;11;1080
2023;12;1080
